"V1","V2","V3"
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
3,-3,-3
-3,3,-3
-3,-3,3
0.313048015348613,1.07215133914724,1.04959740070626
-2.56560718361288,0.014030272141099,0.113578520715237
1.00556134292856,0.369609888643026,-1.64686380838975
-2.27039432432503,-0.445554375182837,-0.494983342476189
0.366174674592912,2.45916856639087,-0.505865504499525
-0.622887031640857,-1.22227434581146,1.12000374589115
2.76405105320737,-1.8428265270777,1.37500955164433
-1.20782868890092,-2.0897802519612,-1.11715506808832
2.19994624285027,2.90592055208981,2.41072115208954
2.48459549434483,-2.20681163901463,-2.79027531808242
2.47629613196477,0.520193891599774,-0.517498566303402
-2.02990363910794,0.277621729765087,-0.459230618085712
2.53205351997167,-2.52938580187038,-0.882039740681648
1.17232853220776,-0.676640380639583,1.01202863780782
0.689724340103567,-0.304278833325952,1.16081944713369
-1.0628522853367,1.73747386643663,-1.514859914314
0.563208636827767,-2.90848486125469,-0.3127904352732
-2.69538596877828,0.967813460156322,1.59538329625502
