"V1","V2","V3","V4","V5"
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
3,-3,-3,-3,-3
-3,3,-3,-3,-3
-3,-3,3,-3,-3
-3,-3,-3,3,-3
-3,-3,-3,-3,3
